CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2009-2,1,2009-2,69,73,13388.569999999994,3876.1399999999994
2009-2,2,2009-3,16,18,2517.36,546.35
2009-2,3,2009-4,6,6,1243.8400000000001,254.92000000000002
2009-2,4,2010-1,3,3,140.44,43.09
2009-2,5,2010-2,6,6,1806.6500000000003,197.45000000000002
2009-2,6,2010-3,4,4,553.6400000000001,127.85000000000001
2009-2,7,2010-4,3,4,411.69000000000005,121.33
2009-2,8,2011-1,4,4,429.82,69.55
2009-2,9,2011-2,3,3,712.76,74.72
2009-2,10,2011-3,5,6,311.73999999999995,92.85
2009-2,11,2011-4,2,3,132.89,71.68
2009-2,12,2012-1,3,4,611.75,89.14
2009-2,13,2012-2,2,4,276.79999999999995,53.96
2009-2,14,2012-3,5,5,381.73,115.10000000000001
2009-2,15,2012-4,3,3,139.5,73.11
2009-2,16,2013-1,2,2,179.9,92.95
2009-2,17,2013-2,4,4,329.84999999999997,66.46000000000001
2009-2,18,2013-3,1,1,39.95,14.91
2009-2,19,2014-1,2,2,319.9,47.46
2009-2,20,2014-2,2,2,15.95,12.07
2009-2,21,2014-3,1,2,263.89,78.72
2009-2,22,2014-4,1,1,34.95,14.05
2009-2,23,2015-2,2,2,240.89999999999998,63.730000000000004
2009-2,24,2015-3,1,1,79.95,31.51
2009-2,25,2016-2,2,2,504.94,131.95999999999998
2009-2,26,2016-3,2,2,68.85,36.72
2009-2,27,2016-4,2,2,299.94,51.29
2009-3,1,2009-3,1113,1315,216271.45999999944,45834.20000000007
2009-3,2,2009-4,90,97,14640.239999999993,3314.839999999999
2009-3,3,2010-1,93,97,13865.979999999994,2909.0100000000007
2009-3,4,2010-2,85,91,13616.920000000006,2656.51
2009-3,5,2010-3,112,118,15421.490000000014,3278.84
2009-3,6,2010-4,94,98,17408.96000000003,4261.88
2009-3,7,2011-1,52,56,7301.599999999994,1531.9199999999998
2009-3,8,2011-2,59,69,14757.900000000016,2236.11
2009-3,9,2011-3,63,65,7821.959999999994,1894.9700000000003
2009-3,10,2011-4,60,64,8534.899999999992,1965.4199999999994
2009-3,11,2012-1,50,54,5377.5899999999965,1361.2299999999998
2009-3,12,2012-2,57,62,9191.769999999999,1825.9599999999998
2009-3,13,2012-3,58,61,7284.709999999995,1489.26
2009-3,14,2012-4,51,58,6454.429999999994,1502.3799999999997
2009-3,15,2013-1,41,45,6242.979999999994,1303.38
2009-3,16,2013-2,33,36,3730.170000000001,787.5200000000001
2009-3,17,2013-3,26,30,7753.099999999996,1042.8300000000002
2009-3,18,2013-4,28,36,3881.2199999999993,867.1300000000001
2009-3,19,2014-1,20,21,2286.140000000001,633.11
2009-3,20,2014-2,28,30,3962.089999999999,1103.14
2009-3,21,2014-3,23,28,4286.819999999998,961.4
2009-3,22,2014-4,20,20,2623.7100000000005,594.0000000000002
2009-3,23,2015-1,13,13,1541.4200000000003,230.78
2009-3,24,2015-2,10,11,2206.68,360.58000000000004
2009-3,25,2015-3,13,14,1438.2100000000005,425.59
2009-3,26,2015-4,12,14,1584.3300000000004,309.11999999999995
2009-3,27,2016-1,7,7,1076.63,177.92
2009-3,28,2016-2,17,18,3398.3599999999997,634.7900000000001
2009-3,29,2016-3,25,27,3951.349999999998,1309.05
2009-3,30,2016-4,10,14,694.75,313.65000000000003
2009-3,31,2017-1,7,8,364.67999999999995,87.97999999999999
2009-3,32,2017-2,12,13,955.0600000000003,305.41999999999996
2009-3,33,2017-3,1,1,520.98,285.96
2009-4,1,2009-4,967,1180,196891.94999999975,39035.75
2009-4,2,2010-1,59,63,8556.209999999992,1815.9399999999994
2009-4,3,2010-2,62,62,10452.69,1896.0300000000002
2009-4,4,2010-3,91,94,10162.24,2412.0199999999995
2009-4,5,2010-4,95,102,13180.290000000006,3062.5000000000005
2009-4,6,2011-1,50,59,6814.489999999992,1628.0500000000002
2009-4,7,2011-2,59,60,7131.079999999994,1298.95
2009-4,8,2011-3,48,49,5894.679999999997,1260.86
2009-4,9,2011-4,68,71,7385.419999999992,1646.69
2009-4,10,2012-1,58,64,6953.889999999996,1631.6899999999996
2009-4,11,2012-2,57,63,8229.759999999993,1571.1399999999999
2009-4,12,2012-3,52,55,5429.889999999994,1313.0500000000002
