CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2009-2,1,2009-2,28,29,1688.0100000000004,697.6200000000001
2009-2,2,2009-4,4,4,312.45,180.70999999999998
2009-2,3,2010-1,1,1,42.95,13.44
2009-2,4,2010-2,7,7,469.49999999999994,147.39999999999998
2009-3,1,2009-3,633,678,42407.459999999934,12919.68000000001
2009-3,2,2009-4,29,30,2149.500000000001,684.93
2009-3,3,2010-1,38,38,2238.84,794.1999999999999
2009-3,4,2010-2,77,82,4622.559999999996,1408.28
2009-4,1,2009-4,575,602,40222.959999999955,10952.160000000016
2009-4,2,2010-1,13,14,562.1,239.0
2009-4,3,2010-2,58,60,3174.9399999999982,879.0799999999999
2009-4,4,2010-3,73,76,4376.039999999996,1265.8600000000001
2010-1,1,2010-1,591,613,35555.19000000018,11184.970000000023
2010-1,2,2010-2,42,45,2392.6500000000005,783.2900000000001
2010-1,3,2010-3,64,66,3853.0399999999977,1147.2700000000002
2010-1,4,2010-4,43,44,2396.9300000000003,801.28
2010-2,1,2010-2,767,809,46517.719999999725,13836.630000000006
2010-2,2,2010-3,64,67,4277.099999999996,1361.7199999999996
2010-2,3,2010-4,40,43,2740.189999999999,891.3900000000001
2010-2,4,2011-1,117,121,7453.599999999985,2233.3100000000013
2010-3,1,2010-3,915,974,56237.319999999214,15899.669999999993
2010-3,2,2010-4,31,36,2325.19,710.9199999999997
2010-3,3,2011-1,96,100,6175.279999999989,2140.0100000000007
2010-3,4,2011-2,120,126,7724.849999999986,2329.3200000000006
2010-4,1,2010-4,1026,1081,71185.90999999881,18382.009999999984
2010-4,2,2011-1,62,62,3428.7999999999965,1223.5700000000004
2010-4,3,2011-2,97,101,6974.449999999989,2144.0300000000007
2010-4,4,2011-3,135,135,7942.4899999999825,2514.6000000000004
2011-1,1,2011-1,1090,1155,75986.41999999866,21517.65999999997
2011-1,2,2011-2,83,86,5302.519999999993,1672.5000000000005
2011-1,3,2011-3,103,105,6555.419999999989,1891.5000000000007
2011-1,4,2011-4,137,141,7873.719999999983,2370.3400000000006
2011-2,1,2011-2,1240,1298,80762.17999999823,22956.82999999995
2011-2,2,2011-3,99,106,6586.1399999999885,2003.9700000000003
2011-2,3,2011-4,132,137,8701.689999999995,2469.7900000000004
2011-2,4,2012-1,175,184,11521.500000000011,3512.300000000001
2011-3,1,2011-3,1242,1329,79845.7299999983,23461.249999999967
2011-3,2,2011-4,60,61,3755.559999999997,1061.16
2011-3,3,2012-1,148,153,9301.979999999994,2718.41
2011-3,4,2012-2,131,132,8270.969999999987,2493.9199999999996
2011-4,1,2011-4,1349,1481,96428.85999999783,25914.95999999995
2011-4,2,2012-1,124,129,7937.079999999987,2459.5699999999997
2011-4,3,2012-2,138,141,8538.77999999999,2592.2799999999993
2011-4,4,2012-3,180,186,10913.840000000015,3351.530000000001
2012-1,1,2012-1,1296,1435,88894.02999999809,27297.939999999973
2012-1,2,2012-2,139,148,9514.909999999994,3054.2400000000002
2012-1,3,2012-3,145,153,8692.29999999999,2674.3099999999995
2012-1,4,2012-4,156,164,10220.100000000006,3391.5600000000013
2012-2,1,2012-2,1374,1531,96895.22999999771,28707.740000000013
2012-2,2,2012-3,179,185,11447.230000000018,3515.8100000000018
2012-2,3,2012-4,168,174,11113.140000000009,3658.240000000001
2012-2,4,2013-1,153,159,10104.890000000001,3454.690000000002
2012-3,1,2012-3,1269,1451,88722.71999999801,27425.94999999993
2012-3,2,2012-4,89,90,6365.299999999991,1840.0699999999995
2012-3,3,2013-1,111,113,8287.539999999992,2868.859999999999
2012-3,4,2013-2,166,168,11160.28000000001,3919.0500000000015
2012-4,1,2012-4,1286,1432,93655.37999999795,28482.539999999917
2012-4,2,2013-1,122,126,7604.799999999985,2346.5
2012-4,3,2013-2,140,144,8158.979999999985,2938.8400000000015
2012-4,4,2013-3,155,157,10070.449999999997,3273.52
2013-1,1,2013-1,1185,1334,87306.11999999819,28901.909999999938
2013-1,2,2013-2,132,134,8374.469999999988,3002.28
2013-1,3,2013-3,119,128,9233.539999999994,3430.950000000001
2013-1,4,2013-4,156,164,10149.019999999999,3939.5400000000022
2013-2,1,2013-2,1225,1383,83738.92999999825,29031.959999999894
2013-2,2,2013-3,119,121,7082.9699999999875,2558.71
2013-2,3,2013-4,140,147,9305.38999999999,3585.6700000000005
2013-2,4,2014-1,135,139,8038.4799999999805,2995.9599999999996
2013-3,1,2013-3,1172,1337,81666.68999999836,28272.049999999952
2013-3,2,2013-4,110,115,7187.909999999985,2860.320000000001
2013-3,3,2014-1,108,117,6685.929999999987,2783.94
2013-3,4,2014-2,140,143,8584.619999999986,3143.8600000000024
2013-4,1,2013-4,1084,1271,79559.28999999863,28743.249999999924
2013-4,2,2014-1,83,87,6214.179999999991,2230.1800000000003
