CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2009-3,1,2009-3,13,15,1904.1600000000003,648.2700000000001
2009-3,2,2009-4,1,2,480.89,74.57
2009-3,3,2010-1,1,1,90.95,38.57
2009-3,4,2010-2,2,3,505.84999999999997,71.12
2009-3,5,2010-3,1,2,357.84999999999997,73.94
2009-3,6,2010-4,1,1,43.9,34.82
2009-3,7,2011-1,1,1,83.9,23.66
2009-3,8,2011-3,2,2,196.9,45.35
2009-3,9,2011-4,1,1,437.78,164.86
2009-3,10,2012-1,1,1,22.99,15.24
2009-3,11,2013-2,2,2,320.5,72.39
2009-3,12,2013-3,1,1,59.95,14.19
2009-3,13,2014-2,1,1,19.95,6.41
2009-3,14,2015-1,1,1,124.95,18.55
2009-3,15,2016-3,1,1,29.95,11.24
2009-3,16,2017-2,1,1,38.95,30.52
2009-4,1,2009-4,71,82,8080.299999999988,2665.9600000000005
2009-4,2,2010-1,4,4,442.47,125.26
2009-4,3,2010-2,4,4,291.34000000000003,109.37
2009-4,4,2010-3,8,8,586.5,191.10999999999999
2009-4,5,2010-4,4,4,304.79,76.36
2009-4,6,2011-1,1,1,65.95,7.23
2009-4,7,2011-2,3,3,143.85000000000002,53.57
2009-4,8,2011-3,1,1,35.95,26.97
2009-4,9,2011-4,5,5,449.52,149.66
2009-4,10,2012-1,10,10,864.1,257.04
2009-4,11,2012-2,6,6,868.96,82.05
2009-4,12,2012-3,2,2,74.9,39.24
2009-4,13,2012-4,3,3,261.84999999999997,51.01
2009-4,14,2013-1,4,4,446.75,61.83
2009-4,15,2013-2,9,11,1301.54,248.60999999999996
2009-4,16,2013-3,7,7,1743.4,647.13
2009-4,17,2013-4,7,9,4527.65,2558.52
2009-4,18,2014-1,2,2,68.30000000000001,53.349999999999994
2009-4,19,2014-2,3,4,711.0,146.42000000000002
2009-4,20,2014-3,2,2,199.85,69.18
2009-4,21,2014-4,1,1,159.95,90.8
2009-4,22,2015-1,1,1,159.95,84.41
2009-4,23,2015-2,3,3,174.85000000000002,44.12
2009-4,24,2015-3,1,1,339.95,69.99
2009-4,25,2015-4,2,2,210.75,94.77
2009-4,26,2016-1,1,1,29.95,7.57
2009-4,27,2017-1,1,1,47.95,22.69
2009-4,28,2017-2,2,2,209.89999999999998,-0.21999999999999886
2010-1,1,2010-1,95,112,10504.369999999994,2893.68
2010-1,2,2010-2,5,5,202.74,88.83
2010-1,3,2010-3,10,12,1396.9400000000005,405.19
2010-1,4,2010-4,4,6,444.65,150.73
2010-1,5,2011-1,6,6,323.65,104.41
2010-1,6,2011-2,2,2,130.0,63.55
2010-1,7,2011-3,6,7,504.54999999999995,158.13
2010-1,8,2011-4,10,10,830.5500000000002,210.92000000000002
2010-1,9,2012-1,4,4,271.2,85.13
2010-1,10,2012-2,8,8,533.8900000000001,154.43
2010-1,11,2012-3,4,4,249.8,116.5
2010-1,12,2012-4,3,3,275.85,78.17
2010-1,13,2013-1,2,2,433.4,24.41
2010-1,14,2013-2,1,1,71.95,12.39
2010-1,15,2013-3,3,3,61.84,27.71
2010-1,16,2013-4,7,7,998.6400000000001,325.25
2010-1,17,2014-1,2,2,59.64,23.84
2010-1,18,2014-2,3,3,239.85000000000002,70.4
2010-1,19,2014-3,2,2,130.9,21.29
2010-1,20,2014-4,5,6,797.59,250.54
2010-1,21,2015-1,5,5,341.24,82.33
2010-1,22,2015-3,6,6,551.45,164.54
2010-1,23,2015-4,4,4,477.79999999999995,92.59
2010-1,24,2016-1,1,1,75.36,31.34
2010-1,25,2016-2,3,4,137.85000000000002,25.03
2010-1,26,2016-4,4,4,420.7,156.51999999999998
2010-1,27,2017-1,1,1,102.9,73.1
2010-1,28,2017-2,1,1,38.95,32.38
2010-2,1,2010-2,133,159,18037.610000000015,5707.330000000003
2010-2,2,2010-3,15,17,2425.77,640.22
2010-2,3,2010-4,8,8,460.34000000000003,124.46000000000001
2010-2,4,2011-1,5,5,251.7,111.58
2010-2,5,2011-2,2,3,721.35,118.86
2010-2,6,2011-3,6,6,543.05,157.54
2010-2,7,2011-4,12,12,1178.19,466.06
2010-2,8,2012-1,12,12,1102.7900000000002,412.94
2010-2,9,2012-2,10,11,842.3900000000001,181.04999999999998
2010-2,10,2012-3,4,4,289.75,74.95
2010-2,11,2012-4,7,7,397.55,186.52
2010-2,12,2013-1,6,6,592.12,92.43
2010-2,13,2013-2,8,9,1457.6900000000003,458.84999999999997
2010-2,14,2013-3,7,7,845.6100000000001,184.6
2010-2,15,2013-4,9,9,812.4000000000001,444.16999999999996
2010-2,16,2014-1,7,8,996.0000000000001,505.4500000000001
2010-2,17,2014-2,1,1,47.95,40.27
2010-2,18,2014-3,2,2,70.9,36.78
2010-2,19,2014-4,6,6,387.65,137.08
2010-2,20,2015-1,2,3,288.85,123.55
2010-2,21,2015-2,4,4,567.45,166.29
2010-2,22,2015-3,3,3,317.84999999999997,94.03
2010-2,23,2016-1,3,4,278.84999999999997,48.74
2010-2,24,2016-2,9,10,1171.4,372.38999999999993
2010-2,25,2016-3,3,3,341.84999999999997,136.37
2010-2,26,2016-4,2,2,76.9,36.25
2010-2,27,2017-1,2,2,135.9,29.67
2010-2,28,2017-2,3,4,388.85,79.98
2010-3,1,2010-3,187,222,20014.130000000045,6834.819999999999
2010-3,2,2010-4,13,14,1485.6600000000003,455.56000000000006
2010-3,3,2011-1,8,8,834.5999999999999,213.32
2010-3,4,2011-2,9,9,657.39,236.69
2010-3,5,2011-3,14,14,1157.6100000000001,357.93000000000006
2010-3,6,2011-4,11,11,926.2800000000001,273.84000000000003
2010-3,7,2012-1,15,15,1265.0,335.96000000000004
2010-3,8,2012-2,15,15,1275.8400000000004,481.11999999999995
2010-3,9,2012-3,17,18,1174.9500000000003,402.92000000000013
2010-3,10,2012-4,11,11,916.2500000000002,385.68
2010-3,11,2013-1,13,13,1175.4500000000003,211.97
2010-3,12,2013-2,10,10,848.5500000000001,246.22000000000003
2010-3,13,2013-3,6,8,833.0000000000001,189.31
2010-3,14,2013-4,10,12,1227.0500000000002,338.2
2010-3,15,2014-1,7,8,1029.5500000000002,650.87
2010-3,16,2014-2,3,3,624.31,206.77999999999997
2010-3,17,2014-3,2,2,149.85,68.97
2010-3,18,2014-4,5,5,343.7,108.78999999999999
2010-3,19,2015-1,6,6,458.15,112.85000000000001
2010-3,20,2015-2,5,5,354.75,113.21
2010-3,21,2015-3,3,3,287.75,78.39
2010-3,22,2015-4,5,5,707.6000000000001,95.62
2010-3,23,2016-1,3,3,227.84999999999997,61.36
2010-3,24,2016-2,3,3,232.85000000000002,45.910000000000004
2010-3,25,2016-3,6,6,997.6,438.31000000000006
2010-3,26,2016-4,3,3,305.79999999999995,115.25
